kelime,anlam
Tüy,Hafif.Kıl.
"U-Ü- 
Uçgur",Bel bağı.Don lastiği.
Uçkurusu,Kuru dal.
Ufra,Ekmek pişirmede sacı üzerine serilen un.
Uğurlama,Gönderme.
Uğurak,Varılan yer.
Ula,Erkeklere seslenme.
Ulo,Kadınların eşlerine seslenişi.
Uluk,"Pis,pasaklı."
Umma,Ümit etmek
Umsunma,Ümit ile beklelek.
Unluk,Değirmende un konulan yer.
Urgan,Halat.
Uruf olmak,Üzülmek.
Uslu,Akıllı.Sakin insan.
Usulca,Yavaşca.
Uşak,Erkek evlat.
Uy,Bir hayret nidası.
Uyartmak,Uyandırmak.
Uyra,Rüya.
Uyruk,Hayvanları arka kısmı.
Uyuz,Zayıf.Hastalıklı.
Üğüm,Fındık dalları.
Üğütmek,Un haline getirmek.
Ül,Undan yapılan civciv yemi.
Ürkme,Korkma.
Ürmek,Haylamak.
Üşmek,"Toprağı eşmek,çukur kazma."
Üşenmek,Çekirgenlik.İçinden gelmemek.İsteksiz.
Üveç,Yaşı gelmemiş erkek koyun.
Üzmek,Dalından koparmak.
Üzüm ayı,Ekim ayı.
"V- 
Vacurvucur konuşma",Çok ve boş konuşmalar.
Vakırtı,Gürültü.
Vakurvukur etme,Çok gürültü yapmak.
Vallah,Yemin.
Vana,Çeşme musluğu.
Vapur,Gemi.
Varmak,Ulaşmak.
Varta,Zorluklar.Tehlikeli durumlar.
Vay,Şaşma sözü.Şaşkınlık.
Verep,"Yamaca karşı düz yol,düz gitmek."
Vıcık,Sulu çamur.
Vıcırtlatma,Ezme işi yapma.
Vıyık,Kısık ses.
Vızıklanma,Nazlanma.Şımarıklılık.
Vire,"Daima,devamlı."
Viy,O da ne.
"Y- 
Yaba",Çatal ağızlı tel kürek.
Yaban,Orman.
Yafta,Resmi kağıt.
Yağlaş,Undan yapılan yemek.
Yakarma,Yalvarma.
Yal,Hayvan yiyecekleri.
Yalak,Su toplanan çukur.
Yalavu,Ateş alevi.Ateşın sıcaklığı.
Yalavuz,"Yalnız,tek başına olan kimse."
Yaltaklanma,Çıkar için kişiye yanaşma.
Yama,"Yokuş,yamaç.Ek yapma."
Yamalık,Yamada kullanılan bez parçası.
Yambul,Topal
Yane,Ne sandın.
Yapma,El ile yapılan aletler.
Yar,Uçurum.
Yardaklanma,Kişiye yağcılık yapma.
"Yarık            Açılmış. 
Yarma",Mısır kırması.
Yarmaça,Kızılağaç odunu.Yarılmış odun.
Yasan olmak,Ortadan kaybolmak.
Yaş,Islak.
Yaşmak,Baş örtüsü.
Yavan,Tadı az olan.Tuzsuz.
Yavşak,Bit yavrusu.
Yavşu,Tarlada yetişen yenilen bitki.
Yaykın,Kızılağaç.
Yaylım,"Otlak,mera."
Yaymak,Sermek.Hayvan otlatmak.
Yazlık,Yaylaya çıkma.
Yazma,Başa örtülen beyaz çember.
Yetişme,Bir yere varmak.Büyümek.
Yelönü,İçi boş fındık.
Yen,Süt hayvanı memesi.
Yenlik,Hafif.
Yesir,Koşularak ebelemece oynanan bir oyun.
Yevgi,Hayvan yiyeceği otlar.
Yezit,"İnatcı,menfaatcı kimse."
Yıldırak,Kaygan.
Yılışık,"Yalaka,dalkavuk."
Yılkı,Yaylada başıboş atlar.
Yıprak,Becekli.
Yitmek,Kaybolmak.
Yivdin,Kokulu yabani bir bitki.
Yolluk,Gelin almada arkadaşlarına verilen bağşiş.
Yolmak,Bitkileri el ile koparmak toplamak.
Yoluşma,Birbirini tutarak çekiştirme.Güreşme.
Yonga,Odun parçası.
Yosma,Güzel alımlı.Boylu boslu.
Yorgan,Yatakda üste örtülen örtü.
Yoz,Kıraç arazi.
Yörek,Beşik bezi.
Yufka,"İnce açılan hamur,börek."
Yuğlamak,Devirmek.
Yuka,Derin olmayan.Suyun derin olmayan kısmı
Yukarı,Üst taraf.
Yunmak,Yıkanmak.Çimmek.
Yüğleme,Bileleme.Ucunu sivriltme.
Yüklü,Gebe.Hamile.
Yürük,"Atik,çevik."
Yüzme,Gölde yıkanma.
"Z- 
Zaar",Köpek.
Zabaccak,Yarın sabah.Ertesi gün.
Zahra,Değirmene giden üğütülecek mısır.
Zara,"Tahıl,mısır,buğday."
Zaten,Halbuki.
Zatiberi,Eskiden beri.
Zebelemek,Ayağı dolaşmak.
Zebil,Fazla.Çok.
Zeğele,Akşam üstü.
Zeklenme,Konuşarak alay etmek.
Zembelek,Yay.
Zembil,Kıldan dokunan sırt çantası.Askı.Zincir.
Zemheri,Ocak ayı.
Zıbaddatma,Kıvrılıp yatmak.
Zıbarmak,Ölmek.
"Sebze meyve sapı. 
Zıkkım",Zehir.
Zıkkımınkökünü ye,Zehirlen.Bedua.
Zıldırın zaarı,Çok gezen.Gezmek.
Zınnık,Çok az.Zerre kadar.
Zıpka,Yöresel pantolon giysi.
Zırvalamak,Dağıtma.Saçmalama.Tutarsız konuşma.
Zırzır,Sürekli gereksiz konuşma.
Zırzop,Delidolu.
Zıt,Ters.
Zıtlık,Terslik.
"Zibçik           .Zurnanın ötürülen kısmı.Düdük. 
Zifir",Sigara dumanı nikotin.
Zil,Beşiğe takılan küçük yuvarlak çan.
Zilli,Kavgacı kadın.
"Zilzurna         Sarhoş. 
Zivzik",Küçük.Küçük fare.
Zollu,İyi.Çok güzel.
Zorlu,Güçlü kuvvetli.
Zote,Saklanmaç oyunu.
Zuğur,Meydana gelme.
Zumbuk,Yumruk.
Zülüf,Kulak yanı saçlar.Favori.
Züğriyet,Nesil.Kök.
Züğül,Özürlü olan.Sakat.
Cice,Büyük kadın
Dikme,İç güveyisi
Eci,Büyük abla
Gurit,Tahtakurusu
Kiren,Kızılcık
Kompil,Patates
Orcuk,"İplik eğirmeye yarayan bir araç, eğirmen"
Şıkrıncak,Tahterevalli
Taraklamak,Tarlayı sürmek
Ayvacık,Ağırtı: Yoğurt
Ardamak,Yaşlanmak
Badal,Merdiven
Bayakdan,Az önce
Bıldır,Geçen yıl
Biyol,Bir kez
Cerek,İnce uzun odun
Cılga,Patika yol
Cücük,Civciv
Çatma,Duvar
Dirliksiz,Geçinilmesi zor kişi
Ellame,"Herhalde, galiba"
Emişik,Sütkardeş
Fosulamak,Özen göstermeden yapmak
Gosdil,Patates
İzancıktan,"Şakadan, mahsusçuktan"
Meh Meh,Hayvanlar için seslenme sözü
Nizamlamak,"Düzenlemek, toparlamak"
Pablika,Fabrika
Selamlık,Balkon
Siftahtan,İlk defa
Tomofil,Otomobil
Çarşamba,Abu: Abla
Ağa,Abi
Aha,İşte
Badal,Merdiven
Balcan,Patlıcan
Bakrak,Kova
Basma,Eteklik kumaş
Bazlama,Mısır ekmeği
Beber,Biber
Bıldır,Geçen sene
Bızlamak,Doğurmak
Boyunduruk,Saban çekmeye ve yer sürmeye yarayan alet
Buba,Baba
Cıngen,Çingen
Cırcır,Fermuar
Cırgana,Pekmez yaparken dut veya üzümün suyunu sıkmaya yarayan alet
Cıscıbıl,"Çırılçıplak, küçük"
Dağnamak,Kınamak
Diize,Teyze
Emmi,Amca
Entere,Entari
Degmük,Tekme
Dol,"Ev, yuva"
Döl,Çocuk
Entare,Gömlek
Evşin,Sac üzerindeki ekmeği çevirmeye yarayan demir alet
Fıragtı,Çit
Fızlı,Hızlı
Gacemer,Becerikli
Gasbenek,Zorla
Gıylı,Tepsi
Girebi,Küçük balta
Golan,İp
Gopça,Elbise düğmesi
Gögümsü,Olgunlaşmamış
Gurna,Musluk
Harani,Kazan
Hemşürem,Bayan
İkbala,Rastgele
İlen,Leğen
İnge,Yenge
İsin,Hüseyin
Kemre,Gübre
Kömüş,Manda
Kenneşmek,Tartışmak
Lapbanadak,Aniden
Öndere,Öküzlere gitmeleri için vurulan çubuk dayak
Parpu,Gözdağı
Pentul,Pantolon
Pin,Kümes
Sacayak,"Üzerinde kazan, tencere kaynatılan üçayaklı demir"
Sicim,İp
Siğirtmek,Koşmak
Sovan,Soğan
Şilte,İnce ip
Talle,Tarla
Tam,Ahır
Tor,Lastik ayakkabı
Urgan,İp
Yanpiri,Yan yürüyen
Yeğin,Güzel
Yennük,Hafif
Zaan,Sahan
Zelve,Boyunduruğun içinden geçirilip hayvanın boğazına bağlanan alet
Havza,Çökme: Misafir kalma
Katık,Yağı alınmış yoğurt
Keşik,Sıra
İlkadım,Ağaruk: Soluk renkli
Ağızlamak,Yolcu etmek
Alaş,Alaca renkli köpek
Badal,Ev merdiveni
Basgancak,Merdiven
Çuhurmak,Kümes hayvanlarının ölecek gibi bağırması
Diren,Zayıf
Göynek,Gömlek
Kıran tutmak,Hayvanın ölmesi
Mizik,Sinek
Samo,"Beceriksiz, saf"
Tuman,Pijama
Kavak,"Abu: Abla, büyük kız kardeş"
Acuk,Yabani elma
Aga,Ağabey veya kabadayı
Ağa,Abi
Ağartu,"Süt, yoğurt ve ayran gibi ürünler"
Ağıl,Davar barınağı
Ağmak,"Bir yeri, tepeyi veya tümseği aşmak"
Ağnamak,Anlamak
Ağnanmak,Yerde yuvarlanmak
Ağu,Zehir/Çok acı yiyecek
Ahlat,Yabani armut
Ahraz,Saf avanak anlamayan
Alaf,Hızlı yanan ateş
Alaş,Alaca renkli köpek
Alemeşkere,"Herkesin gözü önünde, herkesçe bilinen"
Aluk,Hayvanın beline semerden önce konulan çul
Amel,İshal
Analık,Kaynana
Antere,"Entari, gömlek"
Asartma,Genç ağaçlardan oluşan orman
Assuva,Tuvalet
Aş,Yemek/Kesme makarna
Aşurtma,Büyükçe bakır kazan
Aşevi,"Mutfak, yemek pişirilen oda"
Aviyed,"Hediye, müjde karşılığında verilen ödül"
Ayakyolu,Tuvalet
Aylak,Bedava
Azık,Dışarıda yenilecek yiyecek
Babalı,"Vebali, günahı"
Babalık,Kayınpeder
Bacı,Kız kardeş
Badik,Kaz ve ördek yavrusu
Baldırcan,Patlıcan
Bardaç Kurmak,Ayakları altına kıvırarak oturmak
Baskancak,Ağaç merdiven
Bencileyin,Bana göre
Bıcımak,Oyunbozanlık yapmak
Bıldır,Geçen yıl
Bikıdım,Çok az
Bişi,Mayalı hamurdan yağda kızartılarak yapılan ekmek
Bittire,Tel saç tokası
Biz,Kalın iğne
Bostan,Küçük bahçe
Boz,Gri/Ekilmemiş tarla
Börk,"Bere, papak"
Börtmek,Meyve ve sebzelerin güneşten ve sıcaktan dolayı buruşması/Pişirmek
Börtük,Güneşte buruşmuş meyve ve sebze
Böycük,Böcek
Bulamaç,Unla yapılan bir yemek
Burgu,Elle çevrilen matkap
Buymak,Üşümek
Büsürgeç,Yufka çevirme aleti
Cannu,"Canlı, sağ, hareketli"
Cayırlık,Evlerin içinde yıkanmak için kullanılan küçük bölüm
Cebelleş,Bela
Cemek,Sopanın arka kısmına takılan üçgen şeklindeki demir parçası
Cember,"Başörtüsü, tülbent"
Cenk,Bakır küfü
Cerek,"İnce, uzun ve budaksız ağacın gövde kısmı"
Cereme,Ceza
Ceryan,Elektrik
Cıfıt,"Cıvık, bulaşık"
Cılat,Jilet bıçağı
Cılbak,Çıplak
Cılga,"Patika, keçi yolu"
Cılk,"İçi geçmiş, bozulmuş/Bozuk yumurta"
Cırmaklamak,Tırmalamak
Cırnak,Tırnak
Cırnaklama,Tırnağı ile çizme
Cin parmak,Serçe parmak
Comba,Erkek manda yavrusu
Cücük,Tavuk veya kuş yavrusu
Çağıl,Harmanda samandan ayrılmış tane
Çalmaç,"Un bulamacı, undan yapılan çorba"
Çalmak,Mayalamak
Çaluntu,Yoğurt için mayalanmış süt
Çaput,Bez
Çıkı,Bohça
Çıtak,"İyi giyinen, giyimine dikkat eden"
Çiftelü,"Kıvrak akıllı, cilveli"
Çimmek,Yıkanmak/Suda yüzmek
Çin,Tunçtan yapılmış keçi veya manda çanı
Çizek,Kara sabana takılan demir araç
Çolpa,"Beceriksiz, sakar, eli iş tutmayan"
Çomça,Kepçe.Yemek karıştırılan Büyük tahta kaşık
Çotur,Fazla gelişememiş ağaç fidanı/Karışık birbirine girmiş vaziyette
Çöğdürmek,İşemek
Çökürge,Çekirge
Çökuç,Çekiç
Çömelmek,Yere çökmek
Çöpür,Kırkılmış keçi kılı
Çul,Kilim
Dalap,Çiftleşmek isteyen eşek
Darsımak,"Dara düşmek, sıkışmak"
Dastar,Pişirilen ekmeğin soğuması için üzerine serilen kumaş sergi
Değmen,Değirmen
Delme,Yelek
Deynek,"Baston, ihtiyarların yürürken dayandıkları özel çatallı ağaç"
Dıkım,Lokma
Dırımak,"Araştırmak, irdelemek"
Dırtlamak,Küsmek
Dibek,Havan
Diğdir,"Halı dokurken ilmikleri sıkıştırmak için vurulan delikli, saplı demir"
Dilber,Güzel
Dink,Yün bez keçeleme tezgâhı
Dipçek,Yayık tokmağı
Dirgen,Ot ve saman taşımaya yarayan ucu çatal tarım aracı
Don,Pantolon
Donmak,Üşümek
Döner,Tabanca
Döş,"Bağır, sine, göğüs"
Döşek,Yatak
Dutmaç,Tutmaç çorbası
Duma,Nezle
Duzak,Tuzak
Dürmek,"Katlamak, bükmek"
Düve,Doğurmamış dişi sığır
Ebe,Nine
Elaşı,Ellere karşı
Elilani,Leğen
Ellame,Herhalde
Emmi,Amca
Emmo,Amcaoğlu
Enük,Yavru köpek
Erkeç,Kısırlaştırılmış teke
Ersün,Ateş karıştırma aleti
Erükleme,Otlak bir alanda ipin bir ucu hayvana diğer ucu da demir ya da ağaç bir kazığa
Esbap,Elbise
Esvap,Elbise
Evitlemek,"Ayıklamak, temizlemek"
Evlek,"Küçük tarla, bahçe"
Evsmek,"Savurmak, estirmek"
Evtiklenmek,Oyalanmak
Eyrek,Hayvan sürülerinin durak yeri
Eğşi,Ekşi
Elemi,"Öyle mi, öyle değil mi?"
Emice,Amca
Emmi,Amca
Fene,"Fena, çok fazla"
Fer,"Güç, kuvvet"
Ferik,İlk kez yumurtlamaya yakın tavuk
Feslek,Bezelye
Fıraktu,Tarla ve bahçelerin etrafını çevirmek için yapılan çit
Fanile,"Kollu kazak, el örgüsü kazak"
Fingirdemek,"Erkek ve kız arasında olan yakınlaşma, konuşma"
Fistan,"Elbise, entari"
Fitti,Söğüt kabuğunun çıkartılması ile yapılan bir çalgı aleti
Gağnı,"Öküz arabası, kağnı"
Gağuz,Yıkanan ya da kalburla elenen tahılın atık kısmı
Galan,Bundan sonra
Gamaz,"Dönerek esen rüzgâr, küçük hortum"
Gardaşım,Kardeşim
Gavur,Ecnebi
Gavurluk,Yaramazlık
Gavurga,Buğday kavurması
Gayış,Kemer
Gayri,Sonra
Gedik,Eksik
Gepre,Mandaları tımar etmekte kullanılan şal parçası
Gevmek,Çiğnemek
Gıran Giresice,Salgına ya da afete uğrasın anlamında söylenir.
Gırnap,Kendir ipinin incesi
Goca,"Erkek eş, koca/yaşlı veya çok büyük kimse"
Golan,Yün veya keçi kılından dokunarak yapılan şerit biçiminde ip
Göcek,Sobaya kesilen odun
Gödel,"Hamur kepek, davar köpeği azığı"
Göden,Kara kurbağası
Göğ,Gök (mavi renk)
Göğermek,Yeşermek
Göğnü,Fazlaca olgunlaşmış meyve
Gök,Mavi
Gölbez,Köpek yavrusu
Gön,Deri/Hayvan gübresi
Göreslemek,Özlemek
Göynek,Patiska bez gömlek
Gubarmak,"Büyüklenmek, kafa tutmak"
Gupa,Bardak
Gurüzlük,İç içe girmiş ağaç topluluğu
Gurcalamak,Karıştırmak
Gurk,Kuluçka
Guşak,Kemer
Gücek,"Kısa kalmış, kısa boylu"
Gücenmek,Üzülmek
Güğüm,Eskiden içine su doldurulan bakır kap
Gülk,Kuluçkaya yatan tavuk
Güvey,Damat
Hamamlık,Banyo
Hark,"Küçük su kanalı, ark"
Harman,Hasat edilen ekinler
Hartama,Kiremit altı tahtası
Hayat,Avlu
Hazzetmek,Hoşlanmak
Heçlenmek,Pislenmek
Hela,Tuvalet
Helemence,Fazla pişmiş
Helke,"Su kabı, kova"
Herç Etmek,Sitem etmek
Hır Çıkarmak,Huzursuzluk yapmak
Hıra,"Küçük kalmış, gelişememiş"
Hırtlak,"Gırtlak, boğaz"
Hopal,"Yabani güvercin, üveyik"
Hosul,Süt mısırın közde pişirilmiş hali
Hursat,"Fırsat, ekim için uygun zaman"
Hoduk,Kedi yavrusu
Hökela,Ukala
Ilıtma,Ekşimiş ayranın ısıtılması ile yapılan koyu ayran kıvamında içecek
Ingırcak,"Harman, tarla, bahçe vb. yerlere girmek için yapılmış ağaçtan kapı"
Iprık,İbrik
Irak,Uzak
Irazı,Razı
Irbık,"Bakır sürahi,"
İlazım,"Lazım, ihtiyaç"
İlağen,Leğen
İlenger,İçine pilav konulan yayvan ve büyük kap
İman tahtası,Göğüs kafesi
İrin,İltihap
İskemle,Sandalye
İşlik,Gömlek
İteği,Sofra altı
İzane,"Zıddına, inadına"
Kaktırma,İtme
Kap,Tabak çanak
Karpiş,Tam pişmemiş
Kavil,Söz vermek/İddia etmek
Kayış,Kemer
Kayrak,İnce kaya
Kel,Kötü/başında saç olmayan
Kelep,İp yumağı
Kelik,"Tarla veya bahçeye yapılan basit barınak, gölgelik"
Kemre,Hayvan gübresi
Kepenek,Kelebek
Kepi,El değirmeni taşları arasına konulan ve taşların ara açıklığını sağlayan bez halka
Kepermek,Elma ve yabani elmanın kepekleşmeye başlaması
Kerhanacı,Üçkağıtçı
Kertik,İşaret
Keşik,Nöbet
Kevrek,"Gevrek, kolay kırılabilen"
Kevuk,Kendirden ip bükmeye yarayan araç
Kırı,Sıpa
Kısmuk,Cimri
Kömüş,Manda
Köplü,"Merdiven, köprü"
Kösüre,"Balta, orak, bıçak gibi kesici aletleri bilemeye yarayan taştan yapılmış düzenek"
Kötek,Kalın çubuk
Kurna,Pınarlarda taştan oyulmuş musluk
Kursak,Yemek borusu
Kile,Tahıl ölçüsü birimi (Sekiz teneke)
Kiren,Kızılcık
Kitleme,Kilitleme
Lenger,Geniş tabak
Mada,Mide/ İştah
Makat,Divan
Malak,Manda yavrusu
Maraz,"Hasta, hastalıklı"
Maşrapa,"Tas, su bardağı"
Mecal,"Kuvvet, takat"
Meh,Al
Mesarif,Masraf
Metel,Bilmece/Masal
Meymenetsüz,"Hayırsız, işe yaramaz"
Mık,Çivi
Mıymıntı,Uyuşuk
Misaf,Kutsal olan/Nimet
Mizik,Sivrisinek
Muçma,Yumruk
Mugallit,"Komik, insanları güldüren"
Muzu,İnat
Müstamel,"Kullanılmış, eskimiş, ikinci el"
Nacak,"Küçük balta, çoban baltası"
Nalet,"Lanet, kötü olan şey"
Namazloğu,Koyun veya keçi postundan yapılan seccade
Nasibetsüz,Münasebetsiz
Napıyın,Ne yapıyorsun?
Nodul,Övendirenin ucuna takılan sivri çivi
Ocaklık,Mutfak
Oğanmak,"Nefesi tıkanmak, nefessiz kalmak"
Okuntu,Düğün davetiyesi
Ondere,Öküzleri koşarken kullanılan sopa
Öteaçe,Karşı taraf
Öğsü,Bir kısmı yanmış odun
Örsün,Sac üzerinde ekmek çevirmeye yarayan üçgen şeklindeki demir alet
Öteyaka,Öteki taraf
Ötürek,İshal
Öyke,Öfke
Pahla,Fasulye veya bakla
Paklama,Temizleme
Palazlanmak,Büyümek/Varlıklı olmak
Peşgir,Havlu
Peşgur,El havlusu
Peşkir,Havlu
Pıtıl,Sac (tandır) üzerinde mayalı hamurdan pişirilen ince yuvarlak ekmek
Pırtı,Çamaşır
Potur,"Büyüyememiş, kısa kalmış ağaç"
Pontul,Pantolon
Postal,Ayakkabı
Pot,Domuz yavrusu
Pürçek,Ağaç veya bitkinin kökleri
Püsürgeç,Yufka çevirme aracı
Saçayağı,Üçayaklı altında ateş yakılıp yemek pişirmeye yarayan alet
Sadır,Sidik
Sahan,Tabak
Saku,"Aba, yün ceket"
Sakurga,"Kene, kan emici parazit hayvan"
Salgu,Dibeğe dökülen ürünü dövmeye yarayan tokmak
Sallantu,Deprem
Saya,Koyun veya keçinin yatak yeri
Seğirtmek,Koşmak
Sehim,Hisse
Sekmen,Beton/Taş merdiven/Ağaç oturak/Tahtadan yapılan iskemle
Sındı,Makas
Sırtarma,Karşı gelme
Sinmek,Gizlenme
Soku,Taş dibek
Somun,Ekmek
Susa,"Şose, yol"
Suva,"Salon, evin girişindeki boş kısım"
Süksün,"Ense, başın arka kısmı"
Sümsük,"Yalaka, gevşek kimse"
Sütlek,Süt mısır
Süvelmek,Ayakta durmak
Süye,"Ağaç kazık, fasulye sırığı"
Şal,Keçi kılı veya yünden dokunan kilim
Şer,Kötülük
Şip,Çabuk
Şipe,Çeşmelerde su akan demir boru
Şişek,Bir yaşındaki koyun
Şom ağız,Boşboğaz
Tam,"Ahır, hayvan barınağı"
Takat,"Güç, kuvvet, mecal"
Temel,Evin duvarı
Terek,Mutfak dolabı rafı
Tevek,Üzüm asması
Teyin,Sincap
Tezelenmek,"Tazelenmek, yenilenmek"
Tırıl,Çabuk küsen kimse
Tirentez,Titiz
Tokaç,Çamaşır sopası
Toklu,Bir yaşındaki dişi koyun
Tosbağa,Kaplumbağa
Tömek,Hayvan gübresini ahırdan dışarı atmaya yarayan delik
Törleme,İshal
Trampa,"Takas, bire bir değiştirme işi"
Tuman,Alt iç çamaşırı
Tülbent,İnce dokunmuş beyaz başörtüsü
Tünek,Hayvanların barındığı yer
Tünemek,Yatmak
Urba,Giysi
Üleş,Leş
Üleşmek,Paylaşmak
Ünlemek,Bağırmak
Ürüsüm,"Gelenek, görenek"
Vareze,"Bütün azalar, her taraf"
Veran,"Terk edilmiş, viran olmuş"
Ya,Evet
Yaba,Ele benzer şekilde beş parmaklı ortası geniş bir alet. Harman aktarmaya yarar.
Yağır,Eşeğin sırt yarası
Yağlık,Mendil
Yalak,Taştan oyulmuş hayvanların kullandığı su kabı/Küçük çukur
Yaşmak,Başörtüsünü dudağa çekmek
Yazma,Eşarp
Yapaz,Boynuzları geriye doğu yatık hayvan
Yeğin,"Çok iyi, kaliteli"
Yenik,Hafif
Yiğreç,"İğrenç, kötü, beğenilmeyen"
Zahra,Kışlık yiyecek buğday
Zembil,Hasırdan yapılmış usta çantası
Zerze,Kapı kilit demiri
Zuval,Kızılcık
Ladik,Aba: Giysi
Abu,Abla
Acuk,Acı Elma
Afur,Ahır
Aga,Büyükler
Ağartu,Yoğurt
Aha,İşte
Akyel,Lodos
Alma,Elma
Annaç,Karşısı
Aş,Çorba
Avu,Zehir
Aygül,Ayçiçeği
Aze,"Kalça, kaba yer"
Badal,Merdiven basamağı
Badik,Kaz yavrusu
Bağırdak,Bebek sarma bezi
Baldırcan,Patlıcan
Bakraç,Su kabı
Balak,Manda yavrusu
Bandik,Kadın giysisi
Basgancak,Merdiven
Bek,Sert
Bıldır,Geçmiş yıl
Bi cimcik,Çok az
Bi gayde,Bir cüret
Bisürgeç,Ekmek çevirme maşası
Boğazsak,Obur
Bostan,Bahçe
Boyunbağı,Atkı
Böğür,Göğüs
Buymak,Üşümek
Cember,Yemeni
Cerecera,Güç kuvvet
Cerek,Uzun ince ağaç
Ceryan,Elektrik
Cıbartmak,Çok dövmek
Cılk,Çürük yumurta
Cırcır,Fermuar
Cicik,"Göğüs, meme"
Cimbek,Sevimli açıkgöz çocuk
Comba,Manda yavrusu
Cof coflu,Her haliyle güzel olan
Cor,Fıtık
Culuk,Hindi
Cücük,Civciv
Çağa,Çocuk
Çağlık,Lavabo
Çaput,Bez parçası
Çene,Köşe
Çıkı,Yiyecek bohçası
Çiğit,Çekirdek
Çimmek,Banyo yapmak
Çirşef,Belalı
Çokmak,Havlamak
Çoşdar,"Çok konuşan, gezen"
Daraba,Tahta duvar
Dene,Buğday
Dey da,İşte orada
Dırık,"Zayıf, sıska"
Dinelmek,Ayakta durmak
Doruk,Çatı
Dozanak,Bahar sineği
Dömbek,Darbuka
Döşek,Yatak
Dutak,Kazan tutacağı
Eccük,Azıcık
Eğsük,Eksik
Eğüsüketek,Yeni yetişmiş kız çocuğu
Ellağam,Herhalde
Eme,Hala
Emzük,"Biberon, emzik"
Emzüklü,Memede çocuğu olan kadın
Enik,Köpek yavrusu
Esbap,Çamaşır
Estek köstek,Ivır zıvır
Evsük,Alışveriş
Ferik,Genç tavuk
Fışgın,Ağaç sürgünü
Filke,Musluk
Fisdon,Uzun kadın elbisesi
Fisil,Tohumluk soğan
Gadun,Yenge
Galuk,Evde kalmış kız
Ganruk,Balgam
Garamak,Kötülemek
Gavşamak,"Sıvanın gevşemesi, dökülmesi"
Gayde,Hareketli
Gevük,Köy evlerindeki ağaç askı
Gezgüç,Çok gezen
Gıcık,Koyun yavrusu
Gısmuk,Cimri
Gıynaşuk,Hafif aralıklı
Gocamak,İhtiyarlamak
Gocarı,İhtiyar kadın
Göbel,Öksüz çocuk
Gödeş,Eşekçi
Gömbe,Tepside pişirilmiş ekmek
Gön,Deri
Göynek,"İç atlet, gömlek"
Gözer,İri gözlü elek
Gubarmak,"Şişmek, kafa tutmak"
Gubat,"Kaba, kullanışsız"
Guyöv,Damat
Güdel,Tahta kürek
Güdül,Mısır ekmeği
Hahır,Tam
Halbur,Kalbur
Hapaz,Avuç dolusu
Hayat,Avlu
Heç,Pis
Helbet,Elbet
Hemi,Öylemi
Herk,Nadas
Hopcik,Tez canlı
Hörtüm,Yudum
Isgılık,Islık
Ilıncak,Salıncak
İrdemek,Hor görmek
İsgembi,Sandalye
İt üzümü,Böğürtlen
İtdirseği,"Arpacık, göz çıbanı"
Kase,Çay bardağı
Kelik,"Küçük kulübe, ev"
Kemçük,Ufak tefek çirkin kız
Kemre,Hayvan gübresi
Keperüm,Kepeklenmiş meyve
Kepenek,Kelebek
Kese,Kısa yol
Kesmük,Meyvenin arta kalan kısmı
Kırmızı,Domates
Kip Sıkı,Sağlam
Kocabaş,Şeker pancarı
Kopça,Düğme
Kömüş,Manda
Kötek,Sopa
Kürtük,Kar birikintisi
Löküs,Gazlı lüks lambası
Mahsus,Yalan
Makat,Sedir
Mangaş,Cımbız
Marsuk,Kötü odun kömürü
Mecel,"Güç, kuvvet"
Mıh,İri çivi
Mücüver,Omlet
Öğsü,Ateş karıştırma değneği
Öllük,Elenmiş toprak
Ötürek,İshal
Pahla,Fasulye
Parpu,Fırın süpürgesi
Parta,Yalan
Peşgur,Havlu
Pıtıl,Sacda pişen bir tür ekmek
Pin,Kümes
Sabi,Küçük çocuk
Sahan,Tabak
Seğirtmek,Koşmak
Sıçan,Fare
Sırık,Uzun değnek
Sini,Büyük tepsi
Sitil,Küçük yemek kazanı
Sokranmak,Söylenmek
Soku,İçi oyulmuş taş dibek
Somak,Mısır koçanı
Sökütmen,Küçük oturak
Sövelmek,Ayakta durmak
Sulusepken,Karla karışık yağış
Süksün,Boyun kısmı
Sümsük,Arsız
Sürgü,Merdiven
Şallak,"Çıplak, fakir"
Şefter,Uçurum yeri
Şennik,"Düğün, eğlence"
Şibi,Ördek yavrusu
Şibik,Ördek
Şinik,Ölçeğin yarısı
Şip,Hızlı
Şüşürtlek,Balon
Takunya,Nalın
Teknedibi,Bir çeşit ekmek
Teyin,Sincap
Teyküllü,Sevgili
Tosba,Kaplumbağa
Tök,Hindi
Tömek,Ahır penceresi
Tumman,Alt iç çamaşırı
Yaban,Uzak
Yalak,Hayvanlar için su kabı
Yazu,Arazi
Yeğin,Çok bol
Yeğincek,Tez canlı
Yeğni,Hafif
Yumak,"Yıkamak, temizlemek"
Yunak,Çamaşırhane
Yüklü,Hamile
Zağan,Tabak
Zartalak,Patavatsız
Zeklenmek,Taklit etmek
Zelzele,Deprem
Zımzık,Yumruk
Vezirköprü,Abu: Abla
Afaganlu,Çok öksüren
Afur,"Hayvan yemliği, ahır"
Aga,Ağabey
Ağartu,Süt ve mamulleri
Ağuz,Doğum yapan hayvanın ilk sütü
Alaf,Vücut ateşi/kuru ot
Aluk,İlçeye özgü bir hayvan semeri
Amel,İshal
Anadut,Üç parmaklı dirgen
